Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,,Venmo,Fortnightly
2,69,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,,Cash,Fortnightly
3,72,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,,Credit Card,Weekly
4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,,PayPal,Weekly
5,45,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,,PayPal,Annually
6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,,Venmo,Weekly
7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,,Cash,Quarterly
8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,,Credit Card,Weekly
9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,,Venmo,Annually
10,57,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,,Cash,Quarterly
11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,,Bank Transfer,Bi-Weekly
12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,,,Bank Transfer,Fortnightly
13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,,,Venmo,Fortnightly
14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,,,PayPal,Weekly
15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,,Debit Card,Weekly
16,64,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,,PayPal,Monthly
17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,,Debit Card,Bi-Weekly
18,53,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,,Venmo,Quarterly
19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,,Cash,Weekly
20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,,Debit Card,Bi-Weekly
21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,,Cash,Every 3 Months
22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,,Debit Card,Quarterly
23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,,Debit Card,Annually
24,31,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,,Credit Card,Weekly
25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,,Debit Card,Weekly
26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,,PayPal,Annually
27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,,Credit Card,Annually
28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,,Bank Transfer,Every 3 Months
29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,,PayPal,Every 3 Months
30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,,Credit Card,Weekly
31,57,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,,Credit Card,Monthly
32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,,Venmo,Monthly
33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,,Venmo,Annually
34,54,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,,Cash,Quarterly
